cocnumber,shelterunder18,shelter18plus,unshelterunder18,unshelter18plus,beds
VA-602,22,14,0,17,0
VA-603,46,12,0,0,0
VA-604,103,10,0,2,4
VI-500,0,0,0,6,0
VT-500,199,81,1,12,69
VT-501,51,42,0,1,16
WA-500,1466,543,84,686,534
WA-501,940,309,127,191,223
WA-502,181,69,11,36,74
WA-503,215,90,27,60,46
WA-504,175,31,59,60,55
WA-508,153,26,119,22,23
WI-500,937,182,3,7,64
WI-501,192,44,5,5,49
WI-502,31,6,0,0,8
WI-503,135,40,0,2,16
WV-500,19,13,0,1,0
WV-501,7,16,0,0,0
WV-503,42,14,0,0,11
WV-508,75,35,10,15,15
WY-500,68,56,13,13,70
